,Cargo Name,Cargo ID,Cargo Weight,Transport Distance,Hour,Minutes,Ferry?,Ferry Length,Ferry Cost,Origin City,Origin City ID,Origin Country,Origin Company,Origin Company ID,Destination City,Destination City ID,Destination Country,Destiantion Company,Destination Company ID,Transport Type,Trailer Type,High Value Cargo,Heavy Cargo,Fragile Cargo,ADR Cargo,ADR Class & Type,Special Transport,Price Per KM,Price
597,Sawdust Pannels,91,21,275,4,13,No,0,0,Brno,11,Czech Republic,LKW,,Garz,,Austria,LKW,,Very Urgent,Curtainsiders,No,No,No,No,Nil,No,34.17,10272
519,Asphalt Miller- AM0880,97,44,294,4,29,No,0,0,Brno,11,Czech Republic,Sand Builders,,Garz,,Austria,LKW,,Normal,Low bed,Yes,Yes,No,No,Nil,No,41.69,12857
513,Plastic Flim Rolls,124,11,550,8,45,No,0,0,Brno,11,Czech Republic,Trameri,,Lublin,,Poland,Posped,,Very Urgent,Container Chassis,No,No,No,No,Nil,No,22.88,13182
384,Garlic,171,12,607,9,5,No,0,0,Brno,11,Czech Republic,Euro Acers,,Innsbruck,,Austria,RTLOG,,Normal,Curtainsiders,No,No,No,No,Nil,No,28.68,18007
366,Forklifts,3,11,492,7,24,No,0,0,Stuttgart,85,Germany,Treeet,,Cologne,,Germany,ITCC,,Normal,Low bed,Yes,No,No,No,Nil,No,37.22,18912
32,Fireworks,28,9,1089,16,1,No,0,0,Stuttgart,85,Germany,LKW,,Warsaw,,Poland,Stokes,,Very Urgent,Curtainsiders,No,No,Yes,Yes,Class 1- Explosives,No,47.74,52558
304,Excavator Volvo EW240E MH,45,26,476,7,11,No,0,0,Stuttgart,85,Germany,Treeet,,Dortmund,,Germany,Transinet,,Very Urgent,Low bed,Yes,Yes,No,No,Nil,No,43.61,21360
233,Tracks,47,11,672,9,59,No,0,0,Stuttgart,85,Germany,Stein Brunch,,Rotterdam,,Netherlands,Transinet,,Urgent,Low bed,No,No,No,No,Nil,No,38.21,26276
321,Beef,50,21,604,8,49,No,0,0,Stuttgart,85,Germany,LKW,,Garz,,Austria,LKW,,Very Urgent,Refrigerated,No,No,No,No,Nil,No,33.09,20589
353,Apples,51,15,719,10,52,No,0,0,Stuttgart,85,Germany,FLE,,Groningen,,Netherlands,Sell Plan,,Very Urgent,Articulated Trailer,No,No,No,No,Nil,No,26.34,19539
668,Oranges,67,20,218,3,26,No,0,0,Stuttgart,85,Germany,FLE,,Zurich,,Switzerland,Posped,,Very Urgent,Curtainsiders,No,No,No,No,Nil,No,31.87,7548
122,Canned Beans,89,16,1190,17,25,Yes,60,300,Stuttgart,85,Germany,LKW,,Plymouth,,England,Stokes,,Normal,Curtainsiders,No,No,No,No,Nil,No,29.23,35682
520,Large Tubes,100,22,358,5,41,No,0,0,Stuttgart,85,Germany,Stein Brunch,,Dortmund,,Germany,Stein Brunch,,Very Urgent,Flatbeds,No,No,No,No,Nil,No,34.2,12843
690,Stones,182,23,518,7,52,No,0,0,Stuttgart,85,Germany,Stein Brunch,,Linz,,Austria,RTLOG,,Normal,Bulk Carriers,No,No,No,No,Nil,No,11.84,6733
500,Clothes,195,15,393,5,51,No,0,0,Stuttgart,85,Germany,LKW,,Innsbruck,,Austria,RTLOG,,Very Urgent,Container Chassis,No,No,No,No,Nil,No,32.97,13558
533,Ketchup,199,15,445,6,41,No,0,0,Stuttgart,85,Germany,LKW,,Kassel,,Germany,Tradeaux,,Normal,Articulated Trailer,No,No,No,No,Nil,No,26.33,12319
630,Wood Shavings,201,4,956,14,56,No,0,0,Stuttgart,85,Germany,Treeet,,Pecs,,Hungary,Euro Acers,,Normal,Silo,No,No,No,No,Nil,No,8.69,8911
720,Wood Bark,214,6,476,7,11,No,0,0,Stuttgart,85,Germany,Treeet,,Dortmund,,Germany,Transinet,,Urgent,Bulk Carriers,No,No,No,No,Nil,No,8.19,4498
429,Forklifts,3,11,359,5,29,No,0,0,Dusseldorf,26,Germany,FCP,,Groningen,,Netherlands,Euro Acers,,Very Urgent,Low bed,Yes,No,No,No,Nil,No,43.11,16076
409,Cars,10,7,378,5,43,No,0,0,Dusseldorf,26,Germany,Stokes,,Lille,,France,Tradeaux,,Normal,Flatbeds,Yes,No,Yes,No,Nil,No,43.55,17063
96,Fireworks,28,9,837,12,16,No,0,0,Dusseldorf,26,Germany,Stokes,,Linz,,Austria,Posped,,Very Urgent,Curtainsiders,No,No,Yes,Yes,Class 1- Explosives,No,46.67,39664
74,Liver Paste,39,17,1173,16,40,No,0,0,Dusseldorf,26,Germany,Stokes,,B.Bystrica,,Slovakia,Stokes,,Very Urgent,Refrigerated,No,No,No,No,Nil,No,35.77,42599
184,Beans,120,12,895,13,17,Yes,60,300,Dusseldorf,26,Germany,Euro Goodies,,Plymouth,,England,Stokes,,Very Urgent,Curtainsiders,No,No,No,No,Nil,No,33.36,30754
294,Canned Tuna,126,18,689,10,6,No,0,0,Dusseldorf,26,Germany,Euro Goodies,,Prague,,Czech Republic,Sell Plan,,Urgent,Curtainsiders,No,No,No,No,Nil,No,31.43,22258
3,Boric Acid,4,16,1814,26,1,Yes,60,300,Vienna,94,Austria,CNP,,Sheffield,,England,Transinet,,Very Urgent,Curtainsiders,No,No,No,No,Nil,No,47.6,87242
200,Gasoline,7,21,482,7,4,No,0,0,Vienna,94,Austria,CNP,,Debrecen,,Hungary,Euro Acers,,Very Urgent,Tank,No,No,No,Yes,Class 3- Flammable Liquids,No,58.84,28959
471,Peas,8,18,502,7,26,No,0,0,Vienna,94,Austria,Euro Acers,,Szeged,,Hungary,Posped,,Normal,Curtainsiders,No,No,No,No,Nil,No,28.37,14843
20,Kerosene,17,23,930,14,0,No,0,0,Vienna,94,Austria,NS Oil,,Hamburg,,Germany,Transinet,,Urgent,Tank,No,No,No,Yes,Class 3- Flammable Liquids,No,60.75,57096
219,Used Plastics,35,9,1196,17,24,No,0,0,Vienna,94,Austria,Sell Plan,,Brussels,,Belgium,Transinet,,Normal,Curtainsiders,No,No,No,No,Nil,No,22.28,27252
291,Used Plastics,35,7,1014,15,25,No,0,0,Vienna,94,Austria,Sell Plan,,kiel,,Germany,Stokes,,Urgent,Container Chassis,No,No,No,No,Nil,No,21.72,22621
570,Onions,38,7,320,4,37,No,0,0,Vienna,94,Austria,Euro Acers,,B.Bystrica,,Slovakia,Posped,,Very Urgent,Curtainsiders,No,No,No,No,Nil,No,33.14,11205
202,Truck Batteries,48,14,983,14,35,No,0,0,Vienna,94,Austria,Stokes,,Metz,,France,Posped,,Urgent,Container Chassis,No,No,No,No,Nil,No,28.7,28813
300,Empty Pallets,53,22,632,9,35,No,0,0,Vienna,94,Austria,Sell Plan,,Olsztyn,,Poland,Tradeaux,,Normal,Curtainsiders,No,No,No,No,Nil,No,25.55,21500
605,Used Packaging,63,20,351,6,8,No,0,0,Vienna,94,Austria,Sell Plan,,Pecs,,Hungary,Tradeaux,,Urgent,Curtainsiders,No,No,No,No,Nil,No,26.35,9850
168,Oranges,67,20,1035,15,6,No,0,0,Vienna,94,Italy,Stokes,,Liege,,Belgium,Stokes,,Normal,Curtainsiders,No,No,No,No,Nil,No,30.1,31757
113,Salt & Spices,84,12,1352,19,20,No,0,0,Vienna,94,Austria,Stokes,,Calasis,,France,LKW,,Very Urgent,Container Chassis,No,No,No,No,Nil,No,26.56,36505
115,Motor Oil,85,18,1015,15,4,No,0,0,Vienna,94,Austria,CNP,,Luxembourg,,Luxembourg,ITCC,,Urgent,Curtainsiders,No,No,No,No,Nil,No,35.08,36207
578,Motor Oil,85,7,783,12,1,No,0,0,Vienna,94,Austria,CNP,,Bialystok,,Poland,ITCC,,Urgent,Container Chassis,No,No,No,No,Nil,No,13.3,11016
428,Young Seedings,121,3,506,7,31,No,0,0,Vienna,94,Austria,Euro Acers,,Lodz,,Poland,Sell Plan,,Normal,Curtainsiders,No,No,No,No,Nil,No,30.6,16083
482,Garlic,171,12,492,7,11,No,0,0,Vienna,94,Austria,Euro Goodies,,Debrecen,,Hungary,Transinet,,Normal,Curtainsiders,No,No,No,No,Nil,No,27.8,14279
389,Grapes,172,14,580,8,30,No,0,0,Vienna,94,Austria,Euro Acers,,Nurmeberg,,Germany,Stokes,,Normal,Refrigerated,No,No,No,No,Nil,No,29.51,17713
724,Sheep Wool,224,13,135,2,1,No,0,0,Vienna,94,Austria,Euro Goodies,,Bratislava,,Slovakia,Posped,,Urgent,Curtainsiders,No,No,No,No,Nil,No,27.45,4306
4,Precast Stairs,5,22,2147,29,28,Yes,60,300,Glasgow,35,England,ITCC,,Venice,,Italy,LKW,,Very Urgent,Curtainsiders,No,No,No,No,Nil,No,37.89,82253
10,Outdoor Floor Tiles ,11,20,1710,23,58,Yes,60,300,Glasgow,35,England,ITCC,,Nurmeberg,,Germany,Sand Builders,,Very Urgent,Curtainsiders,No,No,No,No,Nil,No,39.2,67926
31,Fuel Tanker,27,9,1240,17,0,Yes,60,300,Glasgow,35,England,NBFC,,Luxembourg,,Luxembourg,Stokes,,Very Urgent,Tank,No,No,No,Yes,Class 3- Flammable Liquids,No,41.67,52567
315,Chemicals,112,18,437,5,56,No,0,0,Glasgow,35,England,WGCC,,Sheffield,,England,ITCC,,Urgent,Tank,No,No,No,Yes,Class 2- Gases,No,46.17,20778
449,Industrial Condenser,119,60,236,6,35,No,0,0,Glasgow,35,England,Government,,Aberdeen,,England,Government,,Normal,Low bed,Yes,Yes,No,No,Nil,Yes,63,15513
207,Wheel Loader,127,15,634,20,0,Yes,370,995,Glasgow,35,England,Stein Brunch,,Amsterdam,,Netherlands,LKW,,Urgent,Low bed,Yes,No,No,No,Nil,No,42.37,28456
448,Massive Tech Part,156,44,236,6,35,No,0,0,Glasgow,35,England,Government,,Aberdeen,,England,Government,,Normal,Low bed,Yes,Yes,No,No,Nil,Yes,63,15513
609,Acetylene,161,4,502,6,31,No,0,0,Glasgow,35,England,WGCC,,Birmingham,,England,Sand Builders,,Normal,Tank,No,No,Yes,Yes,Class 2- Gases,No,18.14,9708
483,Garlic,171,12,492,6,45,No,0,0,Glasgow,35,England,Euro Goodies,,Grimsby,,England,Tradeaux,,Normal,Curtainsiders,No,No,No,No,Nil,No,27.8,14279
607,Lead,179,9,489,6,43,No,0,0,Glasgow,35,England,WGCC,,Grimsby,,England,WGCC,,Urgent,Tank,No,No,No,Yes,Class 6- Toxic & Infectious substances,No,18.85,9816
688,Sulphuric Acid,181,14,179,2,25,No,0,0,Glasgow,35,England,WGCC,,Carlisle,,England,Trameri,,Very Urgent,Tank,No,No,No,Yes,Class 8- Corrosive substances,No,34.75,6820
487,Basil,192,21,492,6,45,No,0,0,Glasgow,35,England,Euro Goodies,,Grimsby,,England,Tradeaux,,Very Urgent,Curtainsiders,No,No,No,No,Nil,No,27.44,14102
6,Gasoline,7,21,1375,20,0,Yes,60,300,London,54,England,NBFC,,Salzburg,,Austria,Stein Brunch,,Normal,Tank,No,No,No,Yes,Class 3- Flammable Liquids,No,51.18,75399
38,Mercury Chloride ,33,15,1251,18,33,Yes,60,300,London,54,England,NBFC,,Salzburg,,Austria,RTLOG,,Normal,Tank,No,No,No,Yes,Class 6- Toxic & Infectious substances,No,40.03,50981
40,Used Plastics,35,7,1833,27,40,Yes,60,300,London,54,England,Sell Plan,,Pecs,,Hungary,Tradeaux,,Very Urgent,Flatbeds,No,No,No,No,Nil,No,26.69,49826
189,Empty Pallets,53,21,968,13,40,Yes,60,300,London,54,England,Sell Plan,,Geneva,,Switzerland,Posped,,Very Urgent,Curtainsiders,No,No,No,No,Nil,No,30.05,29987
320,Olives,54,18,669,8,37,No,0,0,London,54,England,Posped,,Glasgow,,England,Euro Goodies,,Normal,Curtainsiders,No,No,No,No,Nil,No,29.9,20603
172,Roller- DYCNA CC-2200,65,8,703,10,36,Yes,60,300,London,54,England,Sand Builders,,Duisburg,,Germany,LKW,,Normal,Low bed,Yes,No,No,No,Nil,No,43.45,31446
306,Frozen Hake,110,17,690,10,20,Yes,60,300,London,54,England,Posped,,Dortmund,,Germany,Kaarfor,,Normal,Refrigerated,No,No,No,No,Nil,No,29.6,21326
648,Excavator Bucket,136,25,147,2,3,No,0,0,London,54,England,Government,,Felixstowe,,England,Government,,Normal,Low bed,Yes,Yes,No,No,Nil,Yes,50.87,8097
295,Arsenic,138,9,1095,16,15,Yes,60,300,London,54,England,NBFC,,Munich,,Germany,WGCC,,Urgent,Tank,No,No,No,Yes,Class 6- Toxic & Infectious substances,No,19.44,22184
617,Graphite Grease,149,16,279,3,45,No,0,0,London,54,England,NBFC,,Sheffield,,England,ITCC,,Very Urgent,Curtainsiders,No,No,No,No,Nil,No,31.55,9403
647,Huge Tiers,158,20,147,2,3,No,0,0,London,54,England,Government,,Felixstowe,,England,Government,,Normal,Low bed,Yes,No,No,No,Nil,Yes,50.87,8097
404,Scrap Metals,177,21,1485,21,47,Yes,60,300,London,54,England,Posped,,Garz,,Austria,LKW,,Very Urgent,Bulk Carriers,No,No,No,No,Nil,No,11.04,17297
118,Peas,8,18,1057,16,4,No,0,0,Olsztyn,68,Poland,Euro Goodies,,Salzburg,,Austria,Sell Plan,,Urgent,Curtainsiders,No,No,No,No,Nil,No,33.35,35855
205,Fuel Tanker,27,10,697,11,32,No,0,0,Olsztyn,68,Poland,Tradeaux,,Dresden,,Germany,Trameri,,Urgent,Tank,No,No,No,Yes,Class 3- Flammable Liquids,No,40.43,28783
379,Used Plastics,35,9,847,12,56,No,0,0,Olsztyn,68,Poland,Sell Plan,,Vienna,,Austria,Stokes,,Normal,Curtainsiders,No,No,No,No,Nil,No,21.01,18393
408,Tractors,41,5,643,10,45,No,0,0,Olsztyn,68,Poland,Treeet,,B.Bystrica,,Slovakia,Posped,,Very Urgent,Low bed,No,No,No,No,Nil,No,25.6,17064
215,Empty Pallets,53,21,905,14,50,No,0,0,Olsztyn,68,Poland,Sell Plan,,Osnabruck,,Germany,Transinet,,Very Urgent,Curtainsiders,No,No,No,No,Nil,No,30.05,27793
654,Empty Pallets,53,22,255,4,40,No,0,0,Olsztyn,68,Poland,Treeet,,Bialystok,,Poland,Transinet,,Very Urgent,Curtainsiders,No,No,No,No,Nil,No,28.65,7906
378,Used Packaging,63,20,658,11,44,No,0,0,Olsztyn,68,Poland,Sell Plan,,Prague,,Czech Republic,Tradeaux,,Urgent,Container Chassis,No,No,No,No,Nil,No,27.1,18430
386,Backhoe Loder,68,8,464,7,23,No,0,0,Olsztyn,68,Poland,Treeet,,Katowice,,Poland,Stein Brunch,,Normal,Low bed,Yes,No,No,No,Nil,No,37.39,17951
491,Potatoes,86,21,432,6,54,No,0,0,Olsztyn,68,Poland,Tradeaux,,Katowice,,Poland,Posped,,Urgent,Curtainsiders,No,No,No,No,Nil,No,30.72,13870
701,Sawdust Pannels,91,21,181,3,9,No,0,0,Olsztyn,68,Poland,Treeet,,Warsaw,,Poland,Stokes,,Normal,Curtainsiders,No,No,No,No,Nil,No,28.5,5759
177,Lumber,118,17,1294,20,43,No,0,0,Olsztyn,68,Poland,Treeet,,Luxembourg,,Luxembourg,Sand Builders,,Urgent,Low bed,No,No,No,No,Nil,No,23.56,31083
645,Canned Tuna,126,18,246,4,28,No,0,0,Olsztyn,68,Poland,Euro Goodies,,Bialystok,,Poland,Transinet,,Very Urgent,Refrigerated,No,No,No,No,Nil,No,30.91,8205
424,Massive Tech Part,156,44,248,4,28,No,0,0,Olsztyn,68,Poland,Government,,Bialystok,,Poland,Government,,Normal,Low bed,Yes,Yes,No,No,Nil,Yes,63,16282
509,Huge Tiers,158,20,248,4,28,No,0,0,Olsztyn,68,Poland,Government,,Bialystok,,Poland,Government,,Normal,Low bed,Yes,No,No,No,Nil,Yes,50.89,13267
143,Peas,8,18,939,13,39,No,0,0,Reims,78,France,Euro Goodies,,Linz,,Austria,RTLOG,,Very Urgent,Curtainsiders,No,No,No,No,Nil,No,35.49,33925
653,Used Plastics,35,3,666,9,24,Yes,60,300,Reims,78,France,Kaarfor,,Birmingham,,England,Posped,,Urgent,Container Chassis,No,No,No,No,Nil,No,20.57,7938
694,Beef,50,21,229,3,6,No,0,0,Reims,78,France,Euro Goodies,,Luxembourg,,Luxembourg,LKW,,Normal,Refrigerated,No,No,No,No,Nil,No,25.44,7426
529,Empty Pallets,53,21,487,7,2,Yes,60,300,Reims,78,France,Kaarfor,,Southampton,,England,Transinet,,Normal,Curtainsiders,No,No,No,No,Nil,No,24.02,12598
70,Driller - D-50,57,8,874,12,57,No,0,0,Reims,78,France,Stein Brunch,,Dresden,,Germany,Transinet,,Urgent,Low bed,Yes,No,No,No,Nil,No,48.89,43327
98,Used Packaging,63,20,1487,22,39,No,0,0,Reims,78,France,Kaarfor,,Lublin,,Poland,Posped,,Normal,Curtainsiders,No,No,No,No,Nil,No,31.51,39182
236,Haul Truck Chassis,132,55,383,6,0,No,0,0,Reims,78,France,Government,,Strasbourg,,France,Government,,Normal,Low bed,Yes,Yes,No,No,Nil,Yes,66.51,26103
310,Huge Tiers,158,20,383,6,0,No,0,0,Reims,78,France,Government,,Strasbourg,,France,Government,,Normal,Low bed,Yes,No,No,No,Nil,Yes,55.72,21198
317,Milk,160,20,653,10,26,No,0,0,Reims,78,France,Euro Acers,,Nurmeberg,,Germany,Stokes,,Normal,Curtainsiders,No,No,No,No,Nil,No,30.78,20697
566,Milk,160,23,306,6,8,Yes,49,384,Reims,78,France,Euro Acers,,Dover,,England,LKW,,Normal,Tank,No,No,No,No,Nil,No,33.7,11297
511,Peas,8,18,401,6,7,No,0,0,Osnabruck,69,Germany,transinet,,Mannheim,,Germany,Euro Goodies,,Urgent,Curtainsiders,No,No,No,No,Nil,No,31.57,13259
266,Steel Cord,19,14,873,12,58,No,0,0,Osnabruck,69,Germany,transinet,,Salzburg,,Austria,RTLOG,,Normal,Curtainsiders,No,No,No,No,Nil,No,27.33,24461
634,Used Plastics,35,7,397,6,4,No,0,0,Osnabruck,69,Germany,Sell Plan,,Frankfurt,,Germany,Tradeaux,,Normal,Container Chassis,No,No,No,No,Nil,No,20.3,8666
161,Containerized Trees,90,4,888,13,7,No,0,0,Osnabruck,69,Germany,Euro Goodies,,Linz,,Austria,RTLOG,,Urgent,Curtainsiders,No,No,No,No,Nil,No,35.75,32344
185,Young Seedings,121,5,592,9,13,No,0,0,Osnabruck,69,Germany,Euro Goodies,,Dresden,,Germany,Sell Plan,,Normal,Articulated Trailer,No,No,No,No,Nil,No,50.69,30607
710,Sugar,187,21,146,2,21,No,0,0,Osnabruck,69,Germany,transinet,,Bremen,,Germany,Euro Goodies,,Very Urgent,Curtainsiders,No,No,No,No,Nil,No,31.37,5180
629,Basil,192,21,360,5,36,No,0,0,Osnabruck,69,Germany,Euro Goodies,,kiel,,Germany,Stokes,,Normal,Curtainsiders,No,No,No,No,Nil,No,23.1,8915
649,Vinegar,216,4,563,8,36,No,0,0,Osnabruck,69,Germany,Euro Goodies,,Nurmeberg,,Germany,Stokes,,Very Urgent,Container Chassis,No,No,No,No,Nil,No,13.31,8092
8,Furniture,9,16,1754,25,10,Yes,60,300,Hanover,39,Germany,ITS,,Aberdeen,,England,Stokes,,Normal,Curtainsiders,No,No,Yes,No,Nil,No,40.38,71726
221,Silica,30,19,765,12,35,No,0,0,Hanover,39,Germany,Sand Builders,,Olsztyn,,Poland,Tradeaux,,Very Urgent,Curtainsiders,No,No,No,No,Nil,No,34.77,27201
198,Rock Bucket Volvo SPN PT SEG,40,3,890,13,15,No,0,0,Hanover,39,Germany,Stein Brunch,,Geneva,,Switzerland,Treeet,,Normal,Low bed,Yes,No,No,No,Nil,No,32.41,29442
355,Empty Pallets,53,22,622,9,7,No,0,0,Hanover,39,Germany,FCP,,Lille,,France,Tradeaux,,Very Urgent,Container Chassis,No,No,No,No,Nil,No,30.21,19390
658,Driller - D-50,57,8,178,3,17,No,0,0,Hanover,39,Poland,Stein Brunch,,Bremen,,Germany,Posped,,Normal,Low bed,Yes,No,No,No,Nil,No,40.33,7779
426,Used Packaging,63,20,575,8,43,No,0,0,Hanover,39,Germany,ITS,,Brussels,,Belgium,Transinet,,Urgent,Curtainsiders,No,No,No,No,Nil,No,27.1,16180
187,Airmail,66,10,749,11,5,No,0,0,Hanover,39,Germany,Tradeaux,,Salzburg,,Austria,RTLOG,,Very Urgent,Curtainsiders,No,No,No,No,Nil,No,39.91,30495
268,Industrial Cable Reel,69,34,895,13,7,No,0,0,Hanover,39,Germany,Tradeaux,,Garz,,Austria,RTLOG,,Normal,Low bed,No,Yes,No,No,Nil,No,26.31,24149
175,High Pressure Side Valves,116,19,752,11,15,No,0,0,Hanover,39,Germany,AI,,Linz,,Austria,RTLOG,,Urgent,Curtainsiders,No,No,No,No,Nil,No,40.7,31209
241,Scaffolding,130,22,800,11,38,No,0,0,Hanover,39,Germany,ITS,,Paris,,France,Lisette Logistics,,Urgent,Curtainsiders,No,No,No,No,Nil,No,31.7,25964
329,Empty Barrels,137,9,672,10,9,No,0,0,Hanover,39,Germany,AI,,Zurich,,Switzerland,Stokes,,Urgent,Curtainsiders,No,No,No,No,Nil,No,29.32,20303
562,Gravel,202,21,677,0,8,No,0,0,Hanover,39,Germany,Stein Brunch,,Zurich,,Switzerland,Posped,,Urgent,Bulk Carriers,No,No,No,No,Nil,No,16.01,11440
587,Stone Dust,207,22,728,11,6,No,0,0,Hanover,39,Germany,Sand Builders,,Salzburg,,Austria,RTLOG,,Normal,Bulk Carriers,No,No,No,No,Nil,No,13.47,10676
612,Sand,210,21,499,8,12,No,0,0,Hanover,39,Germany,Sand Builders,,Luxembourg,,Luxembourg,ITCC,,Urgent,Silo,No,No,No,No,Nil,No,17.97,9566
737,Wood Bark,214,6,246,3,49,No,0,0,Hanover,39,Germany,Tradeaux,,Berlin ,,Germany,Euro Acers,,Urgent,Bulk Carriers,No,No,No,No,Nil,No,7.72,2500
45,Furniture,9,19,1220,17,59,No,0,0,Venice,92,Italy,LKW,,Rostock,,Germany,Sell Plan,,Normal,Curtainsiders,No,No,Yes,No,Nil,No,39.41,48686
262,Chicken Meat,22,17,729,10,45,No,0,0,Venice,92,Italy,LKW,,Geneva,,Switzerland,Posped,,Very Urgent,Refrigerated,No,No,No,No,Nil,No,32.92,24602
594,Used Plastics,35,9,436,6,45,No,0,0,Venice,92,Italy,Sell Plan,,Turin,,Italy,Transinet,,Urgent,Curtainsiders,No,No,No,No,Nil,No,22.67,10482
382,Apples,51,20,597,8,41,No,0,0,Venice,92,Italy,LKW,,Linz,,Austria,Posped,,Normal,Container Chassis,No,No,No,No,Nil,No,29.41,18158
439,Empty Pallets,53,22,596,8,38,No,0,0,Venice,92,Italy,Sell Plan,,Linz,,Austria,Posped,,Normal,Container Chassis,No,No,No,No,Nil,No,25.55,15827
272,Used Packaging,63,20,932,13,30,No,0,0,Venice,92,Italy,Sell Plan,,Katowice,,Poland,Stokes,,Normal,Curtainsiders,No,No,No,No,Nil,No,25.17,24058
158,Air Conditioners,107,11,843,12,25,No,0,0,Venice,92,Italy,LKW,,Mannheim,,Germany,Posped,,Normal,Low bed,Yes,No,Yes,No,Nil,No,37.98,32618
558,Juice Concentrate,133,27,415,6,16,No,0,0,Venice,92,Italy,LKW,,Innsbruck,,Austria,RTLOG,,Normal,Tank,No,Yes,No,No,Nil,No,26.28,11507
293,Cauliflower,153,9,729,10,48,No,0,0,Venice,92,Italy,Euro Goodies,,Geneva,,Switzerland,Sell Plan,,Normal,Curtainsiders,No,No,No,No,Nil,No,29.8,22325
431,Pet Food,180,18,728,10,45,No,0,0,Venice,92,Italy,Euro Goodies,,Geneva,,Switzerland,Posped,,Normal,Container Chassis,No,No,No,No,Nil,No,21.23,16054
9,Cars,10,9,1234,17,54,No,0,0,Paris ,73,France,BHV,,Garz,,Austria,RTLOG,,Very Urgent,Flatbeds,Yes,No,Yes,No,Nil,No,55.34,69391
368,Cars,10,7,388,5,12,No,0,0,Paris ,73,France,Tradeaux,,Luxembourg,,Luxembourg,LKW,,Urgent,Flatbeds,Yes,No,Yes,No,Nil,No,47.12,18882
590,Used Plastics,35,3,1014,13,57,No,0,0,Paris ,73,France,Voilureuz,,Innsbruck,,Austria,RTLOG,,Normal,Container Chassis,No,No,No,No,Nil,No,9.81,10552
685,Roofing Felt,52,19,211,3,20,No,0,0,Paris ,73,France,Tradeaux,,Lille,,France,Tradeaux,,Urgent,Curtainsiders,No,No,No,No,Nil,No,29.94,6917
501,Empty Pallets,53,22,439,6,2,No,0,0,Paris ,73,France,Voilureuz,,Luxembourg,,Luxembourg,LKW,,Very Urgent,Container Chassis,No,No,No,No,Nil,No,29.43,13520
551,Empty Pallets,53,22,365,5,40,Yes,60,300,Paris ,73,France,IKA,,London,,England,Posped,,Very Urgent,Curtainsiders,No,No,No,No,Nil,No,29.43,11641
345,Used Packaging,63,20,783,11,15,No,0,0,Paris ,73,France,IKA,,Hanover,,Germany,Tradeaux,,Normal,Curtainsiders,No,No,No,No,Nil,No,24.43,19726
656,Used Packaging,63,20,284,3,53,No,0,0,Paris ,73,France,Voilureuz,,Lille,,France,Tradeaux,,Urgent,Curtainsiders,No,No,No,No,Nil,No,25.61,7873
210,Airmail,66,10,686,9,48,No,0,0,Paris ,73,France,FLE,,Stuttgart,,Germany,FLE,,Very Urgent,Curtainsiders,No,No,No,No,Nil,No,39.91,27980
442,Oranges,67,20,532,7,20,No,0,0,Paris ,73,France,FLE,,Amsterdam,,Netherlands,Kaarfor,,Normal,Refrigerated,No,No,No,No,Nil,No,28.32,15668
212,Potted Flowers,73,3,658,9,34,Yes,60,300,Paris ,73,France,IKA,,Swansea,,England,Posped,,Urgent,Refrigerated,No,No,Yes,No,Nil,No,41.08,27932
684,Carrots,77,15,249,4,4,Yes,60,300,Paris ,73,France,Lisette Logistics,,Dover,,England,Euro Goodies,,Normal,Container Chassis,No,No,No,No,Nil,No,24.21,6929
110,Used Car Batteries,82,17,1069,15,16,No,0,0,Paris ,73,France,Lisette Logistics,,Dresden,,Germany,Transinet,,Very Urgent,Curtainsiders,No,No,No,No,Nil,No,34.01,36955
135,Asphalt Miller- AM0880,97,44,658,9,16,Yes,60,300,Paris ,73,France,Tradeaux,,Sheffield,,England,Transinet,,Very Urgent,Low bed,Yes,Yes,No,No,Nil,No,50.73,34282
138,Plumbing Supplies,99,18,1091,16,37,No,0,0,Paris ,73,France,Lisette Logistics,,Salzburg,,Austria,RTLOG,,Normal,Curtainsiders,No,No,No,No,Nil,No,30.76,34157
167,Computer Processers,111,3,620,9,1,Yes,60,300,Paris ,73,France,FLE,,Plymouth,,England,Stokes,,Very Urgent,Curtainsiders,Yes,No,Yes,No,Nil,No,50.16,32011
190,Luxury SUVs,122,11,578,8,23,Yes,60,300,Paris ,73,France,BHV,,Birmingham,,England,Posped,,Normal,Flatbeds,Yes,No,Yes,No,Nil,No,50.3,29975
489,Empty Barrels,137,9,520,7,14,No,0,0,Paris ,73,France,Voilureuz,,Amsterdam,,Netherlands,Stokes,,Normal,Curtainsiders,No,No,No,No,Nil,No,25.62,13925
469,Metal Centering,145,28,388,50,10,No,0,0,Paris ,73,France,Tradeaux,,Luxembourg,,Luxembourg,ITCC,,Very Urgent,Low bed,No,Yes,No,No,Nil,No,36.93,14930
77,Cars,10,7,973,14,15,No,0,0,Berlin,3,Germany,BCP,,Verona,,Italy,Posped,,Normal,Flatbeds,Yes,No,Yes,No,Nil,No,43.06,42500
235,Roller- DYCNA CC-2200,65,8,587,9,5,No,0,0,Berlin,3,Germany,Sand Builders,,Amsterdam,,Netherlands,LKW,,Normal,Low bed,Yes,No,No,No,Nil,No,43.45,26107
331,Oranges,67,20,670,9,54,No,0,0,Berlin,3,Germany,Euro Goodies,,Salzburg,,Austria,RTLOG,,Normal,Refrigerated,No,No,No,No,Nil,No,29.21,20173
